"Optimizer","Nu","Iter","Depth","Error","Time"
"hjn.1",1,101,2,0.15,691.268722057343
"hjn.1",0.698,102,3,0.145238095238095,1287.22601914406
"hjn.1",0.01,105,6,0.141666666666667,1028.63541936874
"hjn.1",0.7,100,3,0.146428571428571,1106.2965054512
"hjn.1",0.7,101,1,0.146428571428571,870.727781534195
"hjn.1",0.6,100,3,0.146428571428571,1179.09133958817
"hjn.1",1,100,2,0.15,627.499041795731
"hjn.1",0.7,103,1,0.145238095238095,837.018042325974
"hjn.1",0.99,100,1,0.147619047619048,623.015900850296
"hjn.1",0.7,100,2,0.146428571428571,664.092398166656
