"Optimizer","Nu","Iter","Depth","Error","Time"
"alo.2",0.0818126502055083,58,13,0.0655270655270655,3914.33542346954
"alo.2",0.1095327695366,285,7,0.0655270655270655,11595.5760071278
"alo.2",0.660309175890681,189,11,0.0683760683760684,8292.13714575768
"alo.2",0.994771241830065,156,20,0.0911680911680912,7129.7354118824
"alo.2",0.657956278311879,236,9,0.0626780626780627,9352.13088226318
"alo.2",0.905055466710612,210,10,0.056980056980057,7862.75299215317
"alo.2",0.232084317751883,137,13,0.0712250712250712,6872.8784570694
"alo.2",0.893905275970668,198,5,0.0740740740740741,7422.12273216248
"alo.2",0.972147018127654,151,7,0.0769230769230769,7181.84354448318
"alo.2",0.931864640442654,189,14,0.0826210826210826,7975.76782011986
