"Optimizer","Cost","Gamma","Epsilon","Time","MSE"
"da.1",189.472669646134,-8,0,1.93892240524292,1118.18169103542
"da.1",135.885363578162,-5,0,1.1801905632019,837.37406338741
"da.1",413.486014257997,-7,0,1.00372624397278,310.624531391729
"da.1",436.716326131625,-9,0,0.77883768081665,700.389850231032
"da.1",651.966884193124,-8,0,0.755061626434326,630.863348033552
"da.1",570.847712228073,-10,0,0.854163885116577,492.40777119368
"da.1",1006.09206374984,-8,0,1.03150868415833,927.168665662144
"da.1",601.654952894337,-9,0,0.884279727935791,1620.73278151283
"da.1",610.249375097393,-7,0,1.09601259231567,614.682415810521
"da.1",506.350916504167,-10,0,0.747205495834351,426.797111869657
