data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
Ionosphere,en,ga,250,10,class,4.50692772865295,0.940594059405941,0.877492877492878,0.918447971781305
Ionosphere,en,ga,250,10,class,3.57662844657898,0.95049504950495,0.863247863247863,0.915414462081129
Ionosphere,en,ga,250,10,class,3.23664426803589,0.940594059405941,0.883190883190883,0.885114638447972
Ionosphere,en,ga,250,10,class,2.93991923332214,0.96039603960396,0.868945868945869,0.926067019400353
Ionosphere,en,ga,250,10,class,2.52913546562195,0.95049504950495,0.88034188034188,0.922821869488536
Ionosphere,en,ga,250,10,class,2.79039311408997,0.95049504950495,0.883190883190883,0.879400352733686
Ionosphere,en,ga,250,10,class,3.62275433540344,0.96039603960396,0.871794871794872,0.909488536155203
Ionosphere,en,ga,250,10,class,2.62325429916382,0.95049504950495,0.886039886039886,0.854250440917108
Ionosphere,en,ga,250,10,class,2.90238475799561,0.940594059405941,0.897435897435897,0.897460317460317
Ionosphere,en,ga,250,10,class,3.40556001663208,0.96039603960396,0.877492877492878,0.855802469135802
