"Optimizer","Cost","Gamma","Time","Error"
"DA.2",564.533263573283,-5,220.88218998909,0.29296875
"DA.2",564.533263573283,-5,214.473659038544,0.29296875
"DA.2",564.533263573283,-5,213.767086267471,0.29296875
"DA.2",564.533263573283,-5,213.562319517136,0.29296875
"DA.2",564.533263573283,-5,212.417139053345,0.29296875
"DA.2",564.533263573283,-5,212.642004728317,0.29296875
"DA.2",564.533263573283,-5,212.79775595665,0.29296875
"DA.2",564.533263573283,-5,212.672580957413,0.29296875
"DA.2",564.533263573283,-5,212.858338356018,0.29296875
"DA.2",564.533263573283,-5,214.426102876663,0.29296875
