"Optimizer","Cost","Gamma","Time","Error"
"spg.2",32.0007225372399,-4.99986079126749,62.0106360912323,0.231770833333333
"spg.2",32.0004116110562,-5.00005006873053,61.1244988441467,0.233072916666667
"spg.2",32.003309227712,-5.00032426396124,33.9407827854156,0.223958333333333
"spg.2",31.9997520084987,-4.99993167805882,60.1399130821228,0.231770833333333
"spg.2",32.0000022867343,-5.00000518395777,37.3892970085144,0.233072916666667
"spg.2",31.999999769032,-5.0000000372529,34.7692334651947,0.233072916666667
"spg.2",32.0016496914008,-5.00034750167048,57.0504114627838,0.225260416666667
"spg.2",31.9999963045122,-5.00000059604643,25.3855698108673,0.233072916666667
"spg.2",32,-5,113.770584583282,0.227864583333333
"spg.2",31.9998793874813,-4.99997758394631,42.3381516933441,0.227864583333333
