"Nu","Iter","Maxdepth","Accuracy","AccLCL","Time"
0.1,100,5,0.928774928774929,0.894808505528819,11.4416782855988
0.1,200,5,0.925925925925926,0.905792363248121,21.3432521820068
0.1,300,5,0.928774928774929,0.914000932849896,32.0774540901184
0.1,400,5,0.925925925925926,0.889308890291647,42.7191369533539
0.1,500,5,0.923076923076923,0.89748761150395,53.4300620555878
0.1,600,5,0.94017094017094,0.94017094017094,64.5022308826447
0.1,700,5,0.914529914529915,0.895186213203219,74.8518197536469
0.1,800,5,0.931623931623932,0.896751578128602,85.4688329696655
0.1,900,5,0.917378917378917,0.911794871794872,96.1765325069427
0.1,1000,5,0.925925925925926,0.911151930000893,107.154413223267
0.1,1100,5,0.925925925925926,0.911151930000893,117.643558263779
0.1,1200,5,0.928774928774929,0.908641366097124,128.685184717178
0.1,1300,5,0.931623931623932,0.921952080960584,139.503891468048
0.1,1400,5,0.92022792022792,0.905453924302887,150.25418138504
0.3,100,5,0.925925925925926,0.901585635528947,10.7607975006104
0.3,200,5,0.928774928774929,0.923190883190883,21.2375226020813
0.3,300,5,0.925925925925926,0.901585635528947,31.8811922073364
0.3,400,5,0.92022792022792,0.905453924302887,42.4352579116821
0.3,500,5,0.925925925925926,0.889308890291647,53.2974140644073
0.3,600,5,0.931623931623932,0.921952080960584,63.8200488090515
0.3,700,5,0.928774928774929,0.917606837606838,74.6895663738251
0.3,800,5,0.92022792022792,0.879960794872311,85.2041034698486
0.3,900,5,0.934472934472934,0.91433937179513,96.2428333759308
0.3,1000,5,0.928774928774929,0.923190883190883,106.901007652283
0.3,1100,5,0.923076923076923,0.889572649572649,116.798990726471
0.3,1200,5,0.934472934472934,0.928888888888889,127.937282323837
0.3,1300,5,0.931623931623932,0.921952080960584,138.404898881912
0.3,1400,5,0.925925925925926,0.891959502679816,147.52321600914
0.5,100,5,0.925925925925926,0.911151930000893,10.4581768512726
0.5,200,5,0.934472934472934,0.881204534621732,21.1757497787476
0.5,300,5,0.928774928774929,0.899226936924863,31.1092908382416
0.5,400,5,0.911680911680912,0.877714488434802,41.510790348053
0.5,500,5,0.917378917378917,0.889458689458689,51.9429712295532
0.5,600,5,0.923076923076923,0.913405072413575,62.5734293460846
0.5,700,5,0.925925925925926,0.92034188034188,72.8578054904938
0.5,800,5,0.931623931623932,0.914871794871795,83.2613706588745
0.5,900,5,0.928774928774929,0.900854700854701,95.9452521800995
0.5,1000,5,0.925925925925926,0.898005698005698,104.916169166565
0.5,1100,5,0.928774928774929,0.897684278771661,115.512030124664
0.5,1200,5,0.931623931623932,0.906034620050959,126.214291810989
0.5,1300,5,0.931623931623932,0.912280230297236,136.478575944901
0.5,1400,5,0.931623931623932,0.921952080960584,148.13202381134
0.7,100,5,0.925925925925926,0.914757834757835,10.5180084705353
0.7,200,5,0.928774928774929,0.914000932849896,21.0566215515137
0.7,300,5,0.92022792022792,0.914643874643875,31.1079223155975
0.7,400,5,0.917378917378917,0.902604921453884,41.4978222846985
0.7,500,5,0.923076923076923,0.913405072413575,51.9112937450409
0.7,600,5,0.937321937321937,0.897054811966328,62.5216636657715
0.7,700,5,0.931623931623932,0.906034620050959,72.874969959259
0.7,800,5,0.914529914529915,0.888940602956942,83.1968545913696
0.7,900,5,0.92022792022792,0.895887629830941,93.8396513462067
0.7,1000,5,0.931623931623932,0.921952080960584,104.067981004715
0.7,1100,5,0.937321937321937,0.917188374644133,114.719052553177
0.7,1200,5,0.928774928774929,0.899226936924863,125.628808736801
0.7,1300,5,0.923076923076923,0.903733221750228,135.901588916779
0.7,1400,5,0.911680911680912,0.871413786325302,146.509905576706
1,100,5,0.928774928774929,0.908641366097124,10.315484046936
