"NumTrees","MinNode","Shrinkage","IntDepth","Accuracy","Acc.LCL","Time"
50,5,-1,11,0.759114583333333,0.726477816127269,1.52427625656128
50,6,-1,11,0.768229166666667,0.747563653240095,0.879859685897827
50,7,-1,11,0.770833333333333,0.734172984307595,0.916985034942627
50,8,-1,11,0.760416666666667,0.721841530412586,0.884536743164062
50,9,-1,11,0.76171875,0.72361214698104,0.89352822303772
50,10,-1,11,0.73046875,0.695506444329319,0.884199619293213
50,11,-1,11,0.751302083333333,0.727334008559407,0.893189907073975
50,12,-1,11,0.7578125,0.744617609425006,0.904072046279907
100,5,-1,11,0.75390625,0.720734341462975,1.63261008262634
100,6,-1,11,0.755208333333333,0.719125423632346,1.74723243713379
100,7,-1,11,0.74609375,0.723016837579752,1.65598750114441
100,8,-1,11,0.73828125,0.721688120854995,1.64872431755066
100,9,-1,11,0.751302083333333,0.7285544162241,1.65473127365112
100,10,-1,11,0.744791666666667,0.729436904661776,1.77064204216003
100,11,-1,11,0.747395833333333,0.688206658438211,1.67836594581604
100,12,-1,11,0.75,0.707712489627583,1.77534127235413
150,5,-1,11,0.747395833333333,0.729910921470257,2.38524103164673
150,6,-1,11,0.752604166666667,0.716578928597447,2.41724562644958
150,7,-1,11,0.751302083333333,0.724771145063306,2.4033784866333
150,8,-1,11,0.752604166666667,0.729575202623759,2.53048205375671
150,9,-1,11,0.75,0.713381409768746,2.50148677825928
150,10,-1,11,0.744791666666667,0.718084186952094,2.41945576667786
150,11,-1,11,0.744791666666667,0.717160738150268,2.43680477142334
150,12,-1,11,0.743489583333333,0.711002505622277,2.44125247001648
200,5,-1,11,0.7421875,0.705852341531691,3.12953448295593
200,6,-1,11,0.743489583333333,0.715562627514326,3.18757176399231
200,7,-1,11,0.7421875,0.720557531144345,3.18970894813538
200,8,-1,11,0.743489583333333,0.701827190489335,3.18086647987366
200,9,-1,11,0.75,0.712492267778753,3.1871497631073
200,10,-1,11,0.744791666666667,0.71596476091977,3.22977256774902
200,11,-1,11,0.727864583333333,0.709635545605551,3.32314395904541
200,12,-1,11,0.7265625,0.707327478076564,3.2048442363739
250,5,-1,11,0.756510416666667,0.721313761315582,3.88751816749573
250,6,-1,11,0.7421875,0.726395355857197,3.92617797851562
250,7,-1,11,0.727864583333333,0.68841576931967,3.92368865013123
250,8,-1,11,0.747395833333333,0.724166706524653,3.94720935821533
250,9,-1,11,0.74609375,0.717383366970472,3.96383166313171
250,10,-1,11,0.731770833333333,0.709974222288463,4.09821820259094
250,11,-1,11,0.743489583333333,0.713152927821218,3.96803879737854
250,12,-1,11,0.727864583333333,0.689856175535641,3.98397922515869
300,5,-1,11,0.729166666666667,0.696893979758078,4.67053318023682
300,6,-1,11,0.721354166666667,0.683471946354018,4.66385769844055
300,7,-1,11,0.727864583333333,0.706849271967892,4.7006242275238
300,8,-1,11,0.731770833333333,0.703646981832245,4.71388649940491
300,9,-1,11,0.739583333333333,0.714725375995693,4.72202682495117
300,10,-1,11,0.73046875,0.701848397629112,4.85868191719055
300,11,-1,11,0.740885416666667,0.714968962297891,4.7520124912262
300,12,-1,11,0.734375,0.700379719137801,4.75816655158997
350,5,-1,11,0.743489583333333,0.707552585447647,5.38278388977051
350,6,-1,11,0.736979166666667,0.705187596925102,5.5228796005249
350,7,-1,11,0.73828125,0.70788501519683,5.44991421699524
350,8,-1,11,0.740885416666667,0.707833424371616,5.55448627471924
350,9,-1,11,0.7265625,0.702136496750049,5.58629989624023
350,10,-1,11,0.713541666666667,0.664642181391524,5.51006484031677
350,11,-1,11,0.736979166666667,0.713768977573178,5.51203942298889
350,12,-1,11,0.729166666666667,0.708342027523845,5.56052160263062
400,5,-1,11,0.734375,0.70824554824149,6.23482584953308
400,6,-1,11,0.729166666666667,0.711355228546362,6.24448370933533
400,7,-1,11,0.74609375,0.71690295077299,6.20522475242615
400,8,-1,11,0.736979166666667,0.713007501137516,6.22949194908142
400,9,-1,11,0.712239583333333,0.672494441689836,6.37446212768555
400,10,-1,11,0.734375,0.71055607015604,6.37013268470764
400,11,-1,11,0.721354166666667,0.699186991807549,6.12339925765991
400,12,-1,11,0.739583333333333,0.700375054027839,6.13609313964844
450,5,-1,11,0.72265625,0.692917312295177,6.64529418945312
450,6,-1,11,0.739583333333333,0.702006365243533,6.67143154144287
450,7,-1,11,0.725260416666667,0.695672068456254,6.8806164264679
450,8,-1,11,0.725260416666667,0.700073262465886,6.72429490089417
450,9,-1,11,0.73046875,0.713902144493162,6.76306223869324
450,10,-1,11,0.733072916666667,0.712737526615067,6.87653207778931
450,11,-1,11,0.7265625,0.69946030552088,6.88251280784607
450,12,-1,11,0.71875,0.690612687862581,6.81488299369812
500,5,-1,11,0.735677083333333,0.70264815270926,7.43616986274719
500,6,-1,11,0.739583333333333,0.709040520249585,7.53257465362549
500,7,-1,11,0.7421875,0.712448544750596,7.41300916671753
500,8,-1,11,0.725260416666667,0.700043119228186,7.60850811004639
500,9,-1,11,0.733072916666667,0.706280407801855,7.49330449104309
500,10,-1,11,0.731770833333333,0.689418494796492,7.62784910202026
500,11,-1,11,0.73828125,0.710433701724712,7.53932762145996
500,12,-1,11,0.71484375,0.69082020420461,7.64533972740173
550,5,-1,11,0.744791666666667,0.718347173987957,8.06340551376343
550,6,-1,11,0.731770833333333,0.693253633290621,8.22767567634583
550,7,-1,11,0.73828125,0.713034863918733,8.1609423160553
550,8,-1,11,0.739583333333333,0.705608263172827,8.3317711353302
550,9,-1,11,0.736979166666667,0.703860833792803,8.25970339775085
550,10,-1,11,0.720052083333333,0.682920571878157,8.35043525695801
550,11,-1,11,0.739583333333333,0.712510287500807,8.37824988365173
550,12,-1,11,0.723958333333333,0.70137020778153,8.38713192939758
600,5,-1,11,0.7421875,0.721149421410854,8.79245734214783
600,6,-1,11,0.733072916666667,0.701206741121105,8.94233584403992
600,7,-1,11,0.73828125,0.702959268273151,8.98042845726013
600,8,-1,11,0.735677083333333,0.703026456286189,8.94774436950684
600,9,-1,11,0.72265625,0.685497546462694,9.07407593727112
600,10,-1,11,0.721354166666667,0.68786991323993,9.10444307327271
600,11,-1,11,0.73046875,0.702929269665099,9.07238483428955
600,12,-1,11,0.723958333333333,0.690748932610743,9.1925790309906
650,5,-1,11,0.739583333333333,0.706830812181337,9.49796938896179
650,6,-1,11,0.740885416666667,0.706895967978976,9.64698719978333
650,7,-1,11,0.7421875,0.706119083870631,9.79666376113892
650,8,-1,11,0.721354166666667,0.694130551426257,9.78621101379395
650,9,-1,11,0.736979166666667,0.706467985599707,9.80942058563232
650,10,-1,11,0.736979166666667,0.690436873885534,9.84820652008057
650,11,-1,11,0.731770833333333,0.696931672379345,9.85195994377136
650,12,-1,11,0.71875,0.687208771257997,9.92016839981079
700,5,-1,11,0.739583333333333,0.70942601339981,10.2465233802795
700,6,-1,11,0.736979166666667,0.708445357902863,10.5040926933289
700,7,-1,11,0.734375,0.700904713589768,10.5154585838318
700,8,-1,11,0.717447916666667,0.688546808687977,10.5447607040405
700,9,-1,11,0.721354166666667,0.693604285641374,10.4957838058472
700,10,-1,11,0.721354166666667,0.691725519062882,10.5538482666016
700,11,-1,11,0.723958333333333,0.690285659662929,10.5670502185822
700,12,-1,11,0.729166666666667,0.68383904219318,10.6100659370422
750,5,-1,11,0.733072916666667,0.712707029658828,11.0143260955811
750,6,-1,11,0.734375,0.702873802255804,11.2109367847443
750,7,-1,11,0.736979166666667,0.713285400713997,11.1998279094696
750,8,-1,11,0.73828125,0.706699458425105,11.2290623188019
750,9,-1,11,0.723958333333333,0.693925230585338,11.1694843769073
750,10,-1,11,0.713541666666667,0.684350595458094,11.3027296066284
750,11,-1,11,0.733072916666667,0.707760345782076,11.4249093532562
750,12,-1,11,0.72265625,0.701619635182988,11.2976076602936
800,5,-1,11,0.721354166666667,0.694657501268475,11.733954668045
