"Optimizer","Cost","Gamma","Epsilon","Time","MSE"
"woa.2",83.4719247454472,-10,0,2.73606109619141,607.219049429702
"woa.2",186.753650232145,-9,0,2.3534734249115,720.554776120808
"woa.2",64.4873760557322,-8,0,2.44321656227112,559.315381799638
"woa.2",482.327584447994,-10,0,4.02314853668213,611.784085467655
"woa.2",98.8095184645306,-8,0,2.73625016212463,569.419214406052
"woa.2",507.133234617008,-10,0,4.15773296356201,526.101770808734
"woa.2",341.606018984864,-9,0,2.34201169013977,670.156463048891
"woa.2",919.963283618428,-9,0,4.02897810935974,566.82871249951
"woa.2",524.236192528479,-9,0,2.55956673622131,667.675188196736
"woa.2",158.149632581911,-8,0,1.99439382553101,638.164859647638
