"Optimizer","Cost","Gamma","Epsilon","Time","MSE"
"spg.2",2.00002585385486,-5.00002260958709,0.399998106679073,117.168882846832,660.732065559977
"spg.2",2.00000862679214,-5.00021166475478,0.399924525165169,114.320707559586,654.441459861054
"spg.2",1.99940075736607,-5.00139689690603,0.399819108314864,118.500633001328,653.657220566552
"spg.2",1.99966521351133,-5.00004745256633,0.39979705582821,117.227648019791,672.34460722188
"spg.2",1.99982465408458,-4.99927895452693,0.399865642970718,117.513296604156,676.217210738945
"spg.2",1.99993468548059,-5.00029703152578,0.399975104353022,116.34573340416,649.834768693994
"spg.2",2.00340939018055,-4.99894740792976,0.399925101618483,118.753780841827,663.918573772078
"spg.2",1.99997890976471,-5.00008207708864,0.399991849432094,117.35170507431,675.967047604986
"spg.2",1.99983849711527,-5.00023300961539,0.399793526913447,119.086801052094,677.29769405877
"spg.2",1.99992993759626,-5.00030977078256,0.399962868276254,115.501678705215,675.531799994457
