Optimizer,Nu,Iter,Depth,Error,Time
ga.2,0.0364732,136,10,0.21875,9264.859945
ga.2,0.118120316,164,11,0.2265625,13841.8517
ga.2,0.034178455,212,9,0.221354167,13459.96298
ga.2,0.074168811,131,11,0.22265625,7367.013176
ga.2,0.874434099,53,2,0.227864583,7160.734029
ga.2,0.031061024,221,8,0.223958333,7791.82567
ga.2,0.027988315,179,12,0.220052083,13217.65018
ga.2,0.088866398,146,10,0.223958333,8750.282928
ga.2,0.052886641,159,10,0.217447917,13028.64931
ga.2,0.04533869,114,11,0.221354167,10025.68388
